date,month,year,is_weekend,is_monsoon,fy,equipment_uptime_pct,blasting_delay_hrs,rainfall_mm,true_production_t,rom_gross_reported_te,stripping_ratio_miss,production_shortfall_pct,ob_overrun_pct,lag_1d_production_t,lag_7d_mean_production_t,ndvi_seasonal_delta,soil_moisture_seasonal_delta,daily_value_inr,rolling_90d_mean,target_production_t,shortfall_gap,shortfall_pct,risk_category,shap_month,shap_is_weekend,shap_is_monsoon,shap_rainfall_mm,shap_equipment_uptime_pct,shap_blasting_delay_hrs,shap_lag_1d_production_t,shap_lag_7d_mean_production_t,shap_ndvi_seasonal_delta,shap_soil_moisture_seasonal_delta,shap_stripping_ratio_miss,shap_production_shortfall_pct,shap_ob_overrun_pct
2015-04-08,4,2015,0,0,2015-16,0.9598528437324804,3.711009132780852,0.0,656.3319756339957,281215.0,2.0,0.1965,0.2,428.3764851467882,753.9329893143974,0.0,1.1814874510706883,1968995.9269019875,,693.5188844289788,37.18690879498308,5.362061456423295,Medium,-1.8618201,-0.29966408,39.241596,4.1940007,88.71603,-167.2527,6.0452285,7.2633557,0.0,0.0,0.0638982,-10.159466,0.0
2015-04-09,4,2015,0,0,2015-16,0.8803345035229626,3.979631290585741,0.0,602.0109148378803,281215.0,2.0,0.1965,0.2,656.3319756339957,723.9975378254339,0.0,1.1814874510706883,1806032.7445136409,,693.5188844289788,91.50796959109856,13.194733646862884,Medium,-1.891796,-0.14420468,50.857628,3.2147374,24.13856,-172.02498,1.205895,6.0453286,0.0,0.0,-0.15445292,-10.992627,0.0
2015-04-10,4,2015,0,0,2015-16,0.9124217733388136,0.6955809968779492,0.0,1031.8917404473837,281215.0,2.0,0.1965,0.2,602.0109148378803,656.4081290143301,0.0,1.1814874510706883,3095675.221342151,,693.5188844289788,-338.37285601840483,-48.79071985141547,Low,3.9227002,-1.0050336,63.75286,5.3448286,80.49439,141.81738,-0.096924506,16.739582,0.0,0.0,-0.25487864,-10.833229,0.0
2015-04-11,4,2015,1,0,2015-16,0.7061753482887407,1.584968075610635,0.0,697.9320908858515,281215.0,2.0,0.1965,0.2,1031.8917404473837,695.729693319771,0.0,1.1814874510706883,2093796.2726575544,,693.5188844289788,-4.413206456872672,-0.6363498609711781,Low,-6.3886814,0.5641794,43.407078,3.7966537,-110.43647,36.73186,10.37405,13.553518,0.0,0.0,1.3588223,-6.5315423,0.0
2015-04-12,4,2015,1,0,2015-16,0.9909729556485982,3.032953902816365,0.0,716.4209643306972,281215.0,2.0,0.1965,0.2,697.9320908858515,688.269329237876,0.0,1.1814874510706883,2149262.892992092,,693.5188844289788,-22.902079901718366,-3.302300833606745,Low,-4.364583,2.691953,47.256134,4.998075,89.34566,-94.30663,-5.624227,3.062613,0.0,0.0,-0.6336022,-11.816732,0.0
2015-04-13,4,2015,0,0,2015-16,0.9497327922401264,2.784082472215169,0.0,852.4701858671134,281215.0,2.0,0.1965,0.2,716.4209643306972,667.9258402983406,0.0,1.1814874510706883,2557410.55760134,,693.5188844289788,-158.95130143813458,-22.91953471014852,Low,4.863196,-0.56264675,52.240475,4.850365,96.99493,-61.732994,5.412503,13.687347,0.0,0.0,-0.17009577,-11.296733,0.0
2015-04-14,4,2015,0,0,2015-16,0.7637017332034828,0.6155836253594202,0.0,795.7816086461321,281215.0,2.0,0.1965,0.2,852.4701858671134,712.2049081642443,0.0,1.1814874510706883,2387344.825938396,,693.5188844289788,-102.26272421715328,-14.74548516459694,Low,-3.5211995,-1.0313284,43.750465,4.6511307,-87.1585,120.07952,7.569538,2.923476,0.0,0.0,1.3123155,-8.100217,0.0
2015-04-15,4,2015,0,0,2015-16,0.7545474901621302,3.263332499962471,0.0,548.5306612979685,281215.0,2.0,0.1965,0.2,795.7816086461321,764.6913543784361,0.0,1.1814874510706883,1645591.9838939055,,693.5188844289788,144.98822313101027,20.90616800584874,High,-3.648804,-1.8266767,36.333683,5.404296,-74.60323,-101.86443,4.0273886,13.190403,0.0,0.0,0.28962377,-6.560888,0.0
2015-04-16,4,2015,0,0,2015-16,0.7550213529560301,0.8977622873466427,0.0,742.6511420172993,281215.0,2.0,0.1965,0.2,548.5306612979685,749.2911666161466,0.0,1.1814874510706883,2227953.426051898,,693.5188844289788,-49.1322575883205,-7.084487342947327,Low,-3.3351,-0.9861711,41.481064,4.947556,-93.931656,92.374664,-3.6670084,5.4177246,0.0,0.0,-0.04424295,-10.8342905,0.0
2015-04-17,4,2015,0,0,2015-16,0.7912726728878613,0.8952704592904923,0.0,707.6398356214941,281215.0,2.0,0.1965,0.2,742.6511420172993,769.382627641778,0.0,1.1814874510706883,2122919.506864482,,693.5188844289788,-14.120951192515236,-2.036130739848847,Low,-4.2123284,-1.2004367,43.34367,4.8879156,-62.207912,70.4272,-1.4039648,5.0044885,0.0,0.0,-0.29026842,-8.333028,0.0
2015-04-18,4,2015,1,0,2015-16,0.8574269294896714,2.1478976915736543,0.0,739.2078346711621,281215.0,2.0,0.1965,0.2,707.6398356214941,723.0609269523653,0.0,1.1814874510706883,2217623.504013486,,693.5188844289788,-45.688950242183296,-6.58798934938911,Low,-2.1396666,0.74483794,43.32653,4.4356422,5.5108933,-13.511209,3.1676865,11.537037,0.0,0.0,-0.10598121,-13.484631,0.0
2015-04-19,4,2015,1,0,2015-16,0.8295835055926347,2.3717597393668126,0.0,728.0589987624132,281215.0,2.0,0.1965,0.2,739.2078346711621,728.9574617788381,0.0,1.1814874510706883,2184176.99628724,,693.5188844289788,-34.54011433343442,-4.980414392302185,Low,-2.2463858,0.69024646,44.58998,3.7230725,-11.366238,-36.09849,-1.9482211,11.372727,0.0,0.0,-0.1173529,-12.1592455,0.0
2015-04-20,4,2015,0,0,2015-16,0.7873687420594125,2.3203448313512447,0.0,648.0272358323381,281215.0,2.0,0.1965,0.2,728.0589987624132,730.6200381262261,0.0,1.1814874510706883,1944081.7074970144,,693.5188844289788,45.49164859664074,6.559539994948676,Medium,-3.887667,-0.7763029,44.37342,4.010085,-45.376587,-18.765808,-1.5930154,10.927369,0.0,0.0,-0.09214961,-9.392814,0.0
2015-04-21,4,2015,0,0,2015-16,0.8835558684167139,0.3659473495910195,0.0,965.5547291869108,281215.0,2.0,0.1965,0.2,648.0272358323381,701.4139024069725,0.0,1.1814874510706883,2896664.1875607325,,693.5188844289788,-272.03584475793195,-39.2254415655772,Low,-3.7266414,-0.55525833,61.380455,4.5172634,39.318504,152.7287,2.132138,4.147231,0.0,0.0,-0.19550803,-11.161402,0.0
2015-04-22,4,2015,0,0,2015-16,0.7418481581956126,3.509843450521521,0.0,485.1341341873389,281215.0,2.0,0.1965,0.2,965.5547291869108,725.6672053413695,0.0,1.1814874510706883,1455402.4025620169,,693.5188844289788,208.38475024163995,30.04745147108968,High,-6.2222404,-0.36501095,30.43229,5.0218678,-94.414696,-144.50781,1.3550647,8.931932,0.0,0.0,0.09959783,-7.8374743,0.0
2015-04-23,4,2015,0,0,2015-16,0.7876433945605654,1.0624001703548245,0.0,771.4715830283968,281215.0,2.0,0.1965,0.2,485.1341341873389,716.6105586112795,0.0,1.1814874510706883,2314414.7490851902,,693.5188844289788,-77.952698599418,-11.240169568504504,Low,-5.4344153,-0.8260268,48.045116,4.592309,-56.936523,77.39621,6.9349785,2.8877866,0.0,0.0,-0.1890974,-8.475522,0.0
2015-04-24,4,2015,0,0,2015-16,0.8099085529881075,0.5180596851312167,0.0,867.6232543692156,281215.0,2.0,0.1965,0.2,771.4715830283968,720.7277644700077,0.0,1.1814874510706883,2602869.7631076467,,693.5188844289788,-174.10436994023678,-25.104488695154814,Low,-4.1726384,-1.0737162,55.316513,5.2029333,-32.985497,135.36531,5.370949,-0.047358856,0.0,0.0,-0.098274514,-8.766208,0.0
