date,month,year,is_weekend,is_monsoon,fy,equipment_uptime_pct,blasting_delay_hrs,rainfall_mm,true_production_t,rom_gross_reported_te,stripping_ratio_miss,production_shortfall_pct,ob_overrun_pct,lag_1d_production_t,lag_7d_mean_production_t,ndvi_seasonal_delta,soil_moisture_seasonal_delta,daily_value_inr,rolling_90d_mean,target_production_t,shortfall_gap,shortfall_pct,risk_category
2015-04-08,4,2015,0,0,2015-16,0.9598528437324804,3.711009132780852,0.0,656.3319756339957,281215.0,2.0,0.1965,0.2,428.3764851467882,753.9329893143974,0.0,1.1814874510706883,1968995.9269019875,,693.5188844289788,37.18690879498308,5.3620614564232945,Medium
2015-04-09,4,2015,0,0,2015-16,0.8803345035229626,3.979631290585741,0.0,602.0109148378803,281215.0,2.0,0.1965,0.2,656.3319756339957,723.9975378254339,0.0,1.1814874510706883,1806032.7445136409,,693.5188844289788,91.50796959109857,13.194733646862883,Medium
2015-04-10,4,2015,0,0,2015-16,0.9124217733388136,0.6955809968779492,0.0,1031.8917404473837,281215.0,2.0,0.1965,0.2,602.0109148378803,656.4081290143301,0.0,1.1814874510706883,3095675.221342151,,693.5188844289788,-338.37285601840483,-48.79071985141547,Low
2015-04-11,4,2015,1,0,2015-16,0.7061753482887407,1.584968075610635,0.0,697.9320908858515,281215.0,2.0,0.1965,0.2,1031.8917404473837,695.729693319771,0.0,1.1814874510706883,2093796.2726575544,,693.5188844289788,-4.413206456872672,-0.6363498609711781,Low
2015-04-12,4,2015,1,0,2015-16,0.9909729556485982,3.032953902816365,0.0,716.4209643306972,281215.0,2.0,0.1965,0.2,697.9320908858515,688.269329237876,0.0,1.1814874510706883,2149262.892992092,,693.5188844289788,-22.902079901718366,-3.302300833606745,Low
2015-04-13,4,2015,0,0,2015-16,0.9497327922401264,2.784082472215169,0.0,852.4701858671134,281215.0,2.0,0.1965,0.2,716.4209643306972,667.9258402983406,0.0,1.1814874510706883,2557410.55760134,,693.5188844289788,-158.95130143813458,-22.91953471014852,Low
2015-04-14,4,2015,0,0,2015-16,0.7637017332034828,0.6155836253594202,0.0,795.7816086461321,281215.0,2.0,0.1965,0.2,852.4701858671134,712.2049081642443,0.0,1.1814874510706883,2387344.825938396,,693.5188844289788,-102.26272421715328,-14.745485164596941,Low
2015-04-15,4,2015,0,0,2015-16,0.7545474901621302,3.263332499962471,0.0,548.5306612979685,281215.0,2.0,0.1965,0.2,795.7816086461321,764.6913543784361,0.0,1.1814874510706883,1645591.9838939055,,693.5188844289788,144.98822313101027,20.90616800584874,High
2015-04-16,4,2015,0,0,2015-16,0.7550213529560301,0.8977622873466427,0.0,742.6511420172993,281215.0,2.0,0.1965,0.2,548.5306612979685,749.2911666161466,0.0,1.1814874510706883,2227953.426051898,,693.5188844289788,-49.1322575883205,-7.084487342947327,Low
2015-04-17,4,2015,0,0,2015-16,0.7912726728878613,0.8952704592904923,0.0,707.6398356214941,281215.0,2.0,0.1965,0.2,742.6511420172993,769.382627641778,0.0,1.1814874510706883,2122919.506864482,,693.5188844289788,-14.120951192515236,-2.036130739848847,Low
2015-04-18,4,2015,1,0,2015-16,0.8574269294896714,2.1478976915736543,0.0,739.2078346711621,281215.0,2.0,0.1965,0.2,707.6398356214941,723.0609269523653,0.0,1.1814874510706883,2217623.504013486,,693.5188844289788,-45.688950242183296,-6.58798934938911,Low
2015-04-19,4,2015,1,0,2015-16,0.8295835055926347,2.3717597393668126,0.0,728.0589987624132,281215.0,2.0,0.1965,0.2,739.2078346711621,728.9574617788381,0.0,1.1814874510706883,2184176.99628724,,693.5188844289788,-34.54011433343442,-4.980414392302185,Low
